Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
36,0.400658524,0.406403277,0.412088869,0.418797746,0.422999839,0.426852657,0.433910584,0.438761592,0.443913285,0.451019379,0.457285336,0.461153693,0.465662011,0.473005619,0.480850472,0.486619333,0.491128544,0.497720705,0.504393973,0.510867934,0.517793622,0.524470708,0.531668274,0.538731071,0.545979387,0.553023707,0.56148919,0.571639027,0.576207351,0.584070285,0.59163289
37,0.417638277,0.423534035,0.429332453,0.436150189,0.440508494,0.444461693,0.45166071,0.456599465,0.461881652,0.469105801,0.475477782,0.479485875,0.484126314,0.491601865,0.499517664,0.505369631,0.510027423,0.516719697,0.523439722,0.530045183,0.537076395,0.543798412,0.551122383,0.55823416,0.565543745,0.57265584,0.581150296,0.591257089,0.595928764,0.603826068,0.61139117
38,0.434579074,0.440616034,0.446516753,0.453430489,0.457938256,0.461984817,0.469311164,0.47432807,0.479730823,0.487058406,0.493523259,0.497663623,0.502426767,0.510018254,0.51798737,0.523909256,0.528705308,0.53548217,0.542233291,0.548954557,0.556074518,0.562824859,0.570256426,0.577399728,0.584750993,0.591912078,0.600413466,0.610452421,0.615212578,0.623122573,0.630670017
39,0.45145584,0.457623787,0.463616075,0.470612843,0.475262753,0.479395379,0.486835012,0.491920335,0.497433362,0.504849595,0.511394022,0.515658658,0.520534641,0.528225808,0.53623081,0.542209361,0.547132787,0.553978608,0.560745419,0.567566487,0.574758325,0.581520653,0.589040792,0.59619846,0.603572036,0.610763488,0.61925034,0.629197897,0.634031395,0.641932963,0.649443304
40,0.468244399,0.47453276,0.480605725,0.487672513,0.492456728,0.496667882,0.504206543,0.509350461,0.514963163,0.522453182,0.529063804,0.533444238,0.538422813,0.546197246,0.554220981,0.560242954,0.56528238,0.572181523,0.57894895,0.585853616,0.593100461,0.599858799,0.607448397,0.61460366,0.621980522,0.629183997,0.637635531,0.647469458,0.652361019,0.660233723,0.667688326
41,0.484921518,0.491319419,0.497462062,0.504585872,0.50949608,0.513778028,0.521401317,0.52659397,0.532295501,0.539844432,0.546507859,0.550995201,0.556065804,0.563907021,0.571932697,0.577984926,0.583128579,0.590065484,0.596818854,0.603790819,0.611075905,0.617814711,0.625454698,0.63259126,0.639952833,0.647150376,0.655546607,0.665246071,0.670180404,0.678004601,0.685385736
42,0.501464954,0.507961269,0.514162537,0.521330439,0.526357909,0.530702758,0.538396206,0.543627741,0.549407068,0.557000098,0.563702996,0.568287997,0.573439813,0.581331353,0.58934261,0.595412079,0.600647864,0.607607136,0.614332246,0.621355209,0.628661968,0.635366217,0.643037679,0.650139795,0.657468067,0.66464221,0.672964041,0.682509674,0.687471596,0.695228537,0.702519453
43,0.517853487,0.524436896,0.530685731,0.537884918,0.543020545,0.547420289,0.555169423,0.560430038,0.566276,0.573898447,0.580627601,0.585300713,0.590522743,0.598448248,0.606429231,0.612503135,0.617818719,0.624785208,0.631468379,0.638526142,0.645838289,0.652493539,0.660177836,0.667230382,0.674507993,0.681641854,0.689871159,0.699245105,0.704219654,0.711891568,0.719076557
44,0.534066954,0.540725998,0.547011379,0.554229219,0.559463583,0.563910136,0.571700548,0.576980539,0.582881901,0.59051928,0.597261655,0.60201309,0.607294213,0.615237513,0.623172928,0.629238738,0.634621631,0.641580504,0.648208641,0.655285193,0.662586813,0.669179266,0.676858141,0.683846674,0.691057008,0.698134372,0.706254068,0.715440009,0.720412553,0.727982722,0.735047178
45,0.550086276,0.556809407,0.563120402,0.570344483,0.575667898,0.580153139,0.58797055,0.593260346,0.59920586,0.606843942,0.61358674,0.618406528,0.623735569,0.631680756,0.639555928,0.645601446,0.651039079,0.657975897,0.664536529,0.671616138,0.678891762,0.685408315,0.693063992,0.699974809,0.707102065,0.714107461,0.722101566,0.731084744,0.736041079,0.743493898,0.750424352
