1,1.03993E-07,3.39331E-07,1.22685E-06,3.08196E-07,3.71943E-07,9.91989E-07,6.33739E-07,1.70107E-07,1.22772E-06,5.85374E-07,1.18883E-06,1.03476E-06,2.62203E-07,5.83053E-07,4.08302E-07,1.63097E-07,3.30215E-07,3.79781E-07,6.09139E-07,8.92427E-07,1.04495E-06,1.01486E-06,1.38512E-06,1.06244E-06,8.85356E-07,7.64673E-07,1.67617E-07,1.06789E-06,7.83083E-07,1.38907E-06,1.44932E-06
21,0.000799039,0.001568463,0.003140907,0.001627223,0.001873042,0.003340861,0.002701524,0.001481655,0.004104349,0.002939106,0.004365808,0.004277971,0.002253246,0.003466493,0.003027748,0.00193866,0.002919115,0.003224543,0.0042283,0.005232207,0.00584401,0.005984095,0.007059498,0.006478399,0.006158411,0.004428022,0.002949311,0.007459505,0.006517653,0.008976805,0.009395648
22,0.000916044,0.001784149,0.003540434,0.001854745,0.002133361,0.003781561,0.003069016,0.001701796,0.004645031,0.003347216,0.004947938,0.004857178,0.002587362,0.003957892,0.00346872,0.002237225,0.003353265,0.003701764,0.004838868,0.005971966,0.006665218,0.006830428,0.008039521,0.007398186,0.007047027,0.005053385,0.003423705,0.008535684,0.00747833,0.010258729,0.010737607
23,0.001043812,0.002017875,0.003969498,0.002101784,0.002415802,0.004256763,0.003466705,0.001942613,0.005227922,0.003789921,0.005576366,0.005483558,0.002952745,0.004492248,0.003949847,0.002565326,0.003828196,0.004223476,0.005504266,0.006776025,0.007557105,0.007750304,0.009102249,0.008398326,0.008015201,0.005733057,0.003947997,0.009708067,0.008527747,0.011653342,0.012197512
24,0.0011828,0.002270259,0.004428834,0.002369047,0.002721147,0.004767464,0.003895574,0.002205016,0.005854222,0.004268432,0.00625247,0.0061586,0.003350751,0.005071164,0.004472769,0.002924393,0.004345683,0.004791581,0.006226652,0.007646724,0.008522175,0.008746384,0.010250458,0.00948175,0.009066003,0.006469022,0.004524878,0.010980318,0.00966955,0.013164734,0.013779627
25,0.001333459,0.002541911,0.004919158,0.002657234,0.003050173,0.005314639,0.004356594,0.002489907,0.006525108,0.004783942,0.006977599,0.006883765,0.00378273,0.005696222,0.005039111,0.003315858,0.004907491,0.005407971,0.007008155,0.008586366,0.00956289,0.009821282,0.011486866,0.010651334,0.010202453,0.007263235,0.005157051,0.012356035,0.010907336,0.014796903,0.015488121
26,0.001496242,0.002833436,0.00544117,0.002967038,0.003403646,0.005899243,0.004850719,0.00279819,0.007241725,0.005337628,0.007753072,0.007660483,0.004250024,0.006368986,0.005650485,0.003741151,0.005515373,0.00607452,0.007850882,0.009597213,0.01068166,0.010977562,0.012814123,0.011909903,0.011427523,0.008117621,0.005847228,0.013838748,0.012244649,0.016553754,0.017327058
27,0.001671598,0.003145427,0.005995551,0.003299144,0.00378232,0.006522212,0.005378888,0.00313076,0.008005198,0.00593065,0.008580178,0.008490156,0.004753967,0.007090996,0.006308484,0.0042017,0.00617107,0.006793091,0.00875691,0.01068149,0.011880853,0.012217741,0.01423482,0.013260221,0.012744131,0.009034074,0.006598127,0.015431912,0.013684979,0.018439092,0.019300395
28,0.001859975,0.003478475,0.006582967,0.00365423,0.004186945,0.007184459,0.005942023,0.003488514,0.00881662,0.00656415,0.009460178,0.009374157,0.005295885,0.007863774,0.007014691,0.004698934,0.006876312,0.007565528,0.009728289,0.01184138,0.013162786,0.013544283,0.015751481,0.014704997,0.014155144,0.010014458,0.007412469,0.017138909,0.015231755,0.020456617,0.021411975
29,0.002061819,0.003833158,0.007204066,0.004032966,0.004618258,0.007886883,0.006541035,0.00387234,0.009677063,0.007239254,0.010394305,0.010313831,0.005877097,0.008688819,0.007770668,0.005234277,0.007632813,0.00839366,0.01076704,0.013079023,0.014529725,0.014959602,0.017366563,0.01624688,0.015663371,0.011060604,0.008292979,0.01896304,0.016888344,0.022609922,0.023665526
30,0.002277573,0.004210053,0.007859483,0.004436015,0.005076989,0.00863036,0.007176815,0.004283125,0.010587572,0.007957071,0.011383761,0.011310492,0.006498911,0.009567607,0.008577964,0.005809153,0.008442276,0.009279299,0.011875152,0.014396519,0.015983887,0.016466057,0.019082456,0.017888454,0.017271564,0.012174311,0.009242377,0.020907526,0.018658047,0.024902488,0.026064651
