Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9943,1.993,1.987,1.9859,1.9909,1.9982,1.9899,1.9905,1.9987,1.9859,1.9831,1.9965,2.0071,1.991,1.9897,1.982,1.994,1.9925,1.989,1.9947,1.9993,1.9937,1.9964,1.9993,1.9909,1.9851,1.9822,1.9839,1.9792,1.9921,1.9904
scale parameter = ,51.366,51.013,50.641,50.247,49.89,49.741,49.242,48.95,48.717,48.121,47.789,47.565,47.43,46.736,46.382,46.018,45.816,45.466,45.122,44.767,44.364,44.05,43.684,43.319,42.993,42.554,42.14,41.751,41.446,41.248,40.851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
47,0.567275034,0.572304127,0.577771547,0.583454179,0.588515025,0.590540309,0.598055555,0.60238454,0.605760561,0.614906414,0.619977419,0.623344752,0.625396339,0.636246246,0.641807892,0.647511731,0.650828386,0.656425544,0.661924723,0.667782273,0.674476359,0.679527492,0.685658367,0.691829459,0.697029608,0.704199193,0.711062873,0.717714162,0.72268731,0.726651064,0.733377564
48,0.582542319,0.587590757,0.593040947,0.598741925,0.603862471,0.605951862,0.613427798,0.61777299,0.621220111,0.630281234,0.635334531,0.638806679,0.640940339,0.651657543,0.657199683,0.662830575,0.66623014,0.671796324,0.67724575,0.683118518,0.689809704,0.694785446,0.700892737,0.707036181,0.71212698,0.719183729,0.725952758,0.732539497,0.737415837,0.741422562,0.748042156
49,0.597573621,0.602633452,0.608058203,0.613768416,0.618939746,0.621088954,0.628514117,0.632868148,0.636379395,0.645342222,0.650369617,0.653938326,0.656148476,0.666717029,0.672230136,0.677779737,0.681253559,0.686779114,0.692169811,0.698045777,0.704720669,0.709613431,0.715685208,0.721788866,0.726763519,0.733696405,0.740359478,0.746869198,0.751641615,0.755679454,0.762180834
50,0.612355216,0.617418605,0.622809989,0.628520477,0.633733633,0.635938187,0.643301581,0.647657194,0.651225441,0.660077139,0.665070728,0.668727464,0.671008278,0.681413259,0.686888142,0.692348666,0.695887925,0.701363594,0.706687059,0.712554449,0.719200026,0.724002786,0.730027562,0.736079769,0.740932201,0.74773106,0.754277661,0.760698585,0.765360652,0.769417918,0.775790659
51,0.626874435,0.631933693,0.637284085,0.642986068,0.648232093,0.650487369,0.65777849,0.662128567,0.66574658,0.67447507,0.679427261,0.68316327,0.685508716,0.695736259,0.701164092,0.706528321,0.710124089,0.715541044,0.720789265,0.726636607,0.733240275,0.737946592,0.743913367,0.749902977,0.754627829,0.761283374,0.7677038,0.774024878,0.778570853,0.782636105,0.788870689
52,0.641119666,0.646167269,0.651469371,0.657154279,0.662424253,0.6647255,0.671934365,0.676271954,0.679932424,0.688526407,0.693429943,0.697236303,0.699640187,0.709677493,0.715049844,0.720311138,0.723954432,0.729304297,0.734469777,0.740285947,0.746835595,0.751439609,0.75733791,0.763254337,0.767846961,0.774350787,0.780636162,0.786847105,0.791271929,0.795334037,0.801421862
53,0.655080343,0.660108964,0.665355814,0.671015317,0.676300395,0.678642763,0.685759927,0.690078267,0.693773854,0.702222821,0.707070797,0.710938475,0.713394478,0.72322983,0.728538685,0.733690987,0.737372821,0.742647697,0.747723464,0.753497736,0.759981775,0.764478215,0.77029813,0.776131381,0.780587824,0.786932414,0.793074699,0.799166,0.803465294,0.807513499,0.813446882
54,0.668746943,0.673749469,0.678934461,0.684560489,0.689851939,0.692230507,0.699247082,0.703539624,0.707262989,0.715557238,0.720343117,0.724263017,0.726764739,0.736387505,0.741625286,0.746663121,0.75037456,0.755567041,0.760546661,0.766268745,0.772676154,0.777060331,0.782792543,0.788533251,0.792850239,0.799028958,0.805020952,0.810983905,0.815153953,0.819177924,0.824950105
55,0.682110967,0.687080521,0.692197416,0.697782187,0.703071422,0.705481222,0.712388892,0.716649319,0.720393165,0.728523803,0.733241432,0.737204446,0.73974544,0.749146072,0.754305659,0.759224132,0.762956338,0.768059529,0.77293711,0.778597191,0.78491755,0.789185357,0.794821162,0.800460607,0.804635527,0.810642613,0.816477953,0.822304666,0.826342403,0.830332283,0.835937413
56,0.69516493,0.70009489,0.705137825,0.710673863,0.715952474,0.718388518,0.725179549,0.729401796,0.733158896,0.741117846,0.745761463,0.749758523,0.752332335,0.76150236,0.7665771,0.771371894,0.77511617,0.780123696,0.784893897,0.790482665,0.796706185,0.800854085,0.806385416,0.811915546,0.815946423,0.821776972,0.827450126,0.833133523,0.837036517,0.840982968,0.846416096
