Design temperature <,40 deg C ambient temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design life =~ ,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equation= ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
shape parameter = ,1.6977,1.7071,1.7193,1.6958,1.7406,1.7395,1.7249,1.7129,1.7043,1.7285,1.6891,1.6895,1.711,1.7114,1.7098,1.7081,1.7191,1.70,1.7314,1.7466,1.7184,1.7203,1.733,1.715,1.7182,1.7336,1.7129,1.6827,1.748,1.6847,1.7115,,,,,,,,,,,,,,
scale parameter = ,66.623,62.218,58.22,54.722,50.639,47.583,44.046,41.009,38.017,35.769,33.174,31.393,28.975,27.156,25.311,23.512,22.3,20.86,19.383,18.084,16.892,15.776,14.668,13.759,12.787,11.873,11.017,10.303,9.6121,8.959,8.4064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
22,0.141379123,0.15594157,0.171091685,0.192052338,0.208884874,0.229985994,0.260643253,0.291170264,0.325424848,0.3505694,0.393285377,0.422145759,0.464340472,0.502139726,0.544726724,0.590440517,0.623555668,0.665578444,0.712109085,0.755433155,0.792910928,0.830001758,0.867187993,0.893173471,0.921164507,0.945696723,0.961975755,0.972238475,0.985763602,0.989354682,0.994422595,,,,,,,,,,,,,,
23,0.151577097,0.167147792,0.183353507,0.205430707,0.22365706,0.245995333,0.278223241,0.310208996,0.346004799,0.372576312,0.416470435,0.446341808,0.490124042,0.528842757,0.572154358,0.618289039,0.651657835,0.693195469,0.73940589,0.781716391,0.817242841,0.852331558,0.887013545,0.910518131,0.935560047,0.956999377,0.970642312,0.978984029,0.98990295,0.992522714,0.99629923,,,,,,,,,,,,,,
24,0.161962467,0.178548154,0.195814851,0.218988272,0.238623282,0.262178612,0.295928053,0.329311586,0.366567586,0.394509729,0.439434323,0.470214935,0.515417794,0.554885217,0.598712043,0.64502653,0.678455565,0.71928504,0.764872696,0.805904599,0.839354342,0.872301739,0.90438163,0.925464881,0.947662789,0.966206123,0.977517437,0.98422343,0.992919634,0.994803719,0.99757588,,,,,,,,,,,,,,
25,0.172521448,0.190126361,0.20845651,0.232703124,0.253756461,0.278504655,0.313721525,0.348437196,0.38706737,0.416316978,0.462124027,0.49370962,0.540160953,0.580207088,0.624344642,0.670608343,0.703913681,0.743834757,0.788524888,0.828051885,0.859342953,0.890059089,0.919497772,0.938257226,0.957760284,0.973639545,0.982920486,0.988254227,0.99509051,0.996426726,0.998432216,,,,,,,,,,,,,,
26,0.183240587,0.201866518,0.221259761,0.246554028,0.2690303,0.294943318,0.331568973,0.367547006,0.40746106,0.437948852,0.484491063,0.516775825,0.564300078,0.604757328,0.649007901,0.695002752,0.728011754,0.766847803,0.81039566,0.84823059,0.877320678,0.905760584,0.932570419,0.949132735,0.966121991,0.979589457,0.987127834,0.991326332,0.996633439,0.997568224,0.998998724,,,,,,,,,,,,,,
27,0.194106756,0.213753128,0.234206365,0.260520415,0.284419297,0.3114655,0.349437207,0.386604221,0.427708287,0.459359602,0.506491374,0.539368837,0.587788812,0.628493461,0.672667797,0.718189935,0.750742724,0.78834107,0.83053328,0.866527589,0.893409844,0.919568626,0.943805709,0.958318429,0.972995816,0.984311683,0.990374731,0.993646398,0.99771675,0.998361976,0.999368436,,,,,,,,,,,,,,
28,0.205107144,0.225771082,0.247278562,0.27458238,0.299898755,0.328043159,0.367294539,0.405574065,0.447771388,0.480506903,0.528085228,0.5614491,0.610587606,0.651381142,0.695299856,0.740160934,0.772111518,0.808343337,0.848998464,0.883040841,0.907739398,0.931646968,0.953403299,0.966027435,0.97860615,0.988028456,0.992858391,0.995382839,0.998468268,0.998907784,0.999606507,,,,,,,,,,,,,,
29,0.216229253,0.237905659,0.260459075,0.288720676,0.315444796,0.344649325,0.385110786,0.424423776,0.467615371,0.501351827,0.549237084,0.582982032,0.632663415,0.673393693,0.716888443,0.760916613,0.79213368,0.8268935,0.86586191,0.89787624,0.920441661,0.942157331,0.961553178,0.972456755,0.983153153,0.99093002,0.99474181,0.996671048,0.998983476,0.999278993,0.999757804,,,,,,,,,,,,,,
30,0.227460892,0.250142524,0.273731112,0.302916713,0.331034365,0.36125811,0.402857278,0.443122591,0.487207877,0.521858784,0.569915465,0.603937827,0.653989376,0.694511615,0.737426043,0.78046662,0.810834018,0.844038893,0.881202001,0.911144787,0.931649548,0.951256683,0.968433375,0.977785976,0.986813001,0.993177024,0.996157915,0.997618474,0.99933258,0.999528741,0.999852714,,,,,,,,,,,,,,
31,0.238790176,0.262467728,0.287078363,0.317152555,0.346645246,0.377844719,0.420506852,0.461641731,0.506519138,0.541995468,0.590092811,0.624291248,0.674544471,0.714722099,0.75691254,0.798828365,0.828245304,0.859833714,0.895102701,0.922960097,0.941494233,0.959095104,0.974208443,0.982176762,0.989738858,0.9949034,0.997213748,0.998309345,0.999566422,0.999694988,0.999911494,,,,,,,,,,,,,,
