Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9944,1.9965,1.9954,1.9844,1.9918,1.9878,1.9907,1.9859,1.9831,1.987,1.9854,1.9867,1.9878,1.999,1.9868,1.9904,1.9954,1.9962,1.9889,1.9919,1.9901,1.988,1.9944,1.9866,1.9931,1.9982,1.9938,1.973,1.9913,1.9834,1.9797
scale parameter = ,49.398,48.818,48.342,47.775,47.39,46.936,46.417,46.021,45.478,45.105,44.589,44.194,43.666,43.387,42.775,42.412,41.969,41.496,41.051,40.581,40.131,39.684,39.188,38.741,38.269,37.918,37.409,36.713,36.519,35.877,35.476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
23,0.195648449,0.199529977,0.203189432,0.208975694,0.210969263,0.215122126,0.218966224,0.222931366,0.227973069,0.230724658,0.235594383,0.239069328,0.243927687,0.245121064,0.252854966,0.256079661,0.260041997,0.265015028,0.270894838,0.275813568,0.281281242,0.286888392,0.292132206,0.298780708,0.304053579,0.308063385,0.315558348,0.327978855,0.328511419,0.339016916,0.345602392
24,0.211013446,0.215174222,0.219070519,0.225149552,0.227336967,0.231727941,0.235847373,0.240026254,0.245365052,0.248326663,0.253488547,0.257192838,0.262362982,0.26373739,0.271826698,0.275281914,0.279532482,0.28481028,0.290961088,0.296196981,0.301959717,0.307862077,0.31346955,0.320398789,0.326031674,0.330315814,0.338158661,0.350973685,0.351751869,0.362686542,0.369546616
25,0.226716223,0.231156422,0.235287403,0.241649039,0.24403412,0.24865791,0.25305191,0.257438175,0.263067766,0.266239412,0.271687369,0.275618032,0.281094916,0.28265647,0.291082549,0.29476605,0.299302204,0.304877313,0.311284178,0.316830293,0.322876428,0.329061297,0.3350254,0.3422155,0.348200071,0.352751895,0.360920712,0.374084124,0.375116952,0.386445248,0.39355748
26,0.242724552,0.247443138,0.251805635,0.25843858,0.261024177,0.265874483,0.270540979,0.275127376,0.281040124,0.284420743,0.290147319,0.294300231,0.300077243,0.301830868,0.310573596,0.314481854,0.319299294,0.325162611,0.331809379,0.33765695,0.343973268,0.350426391,0.356737789,0.364167618,0.370493181,0.375304195,0.383775239,0.39723974,0.398533739,0.410218021,0.417558576
27,0.259006136,0.264000878,0.268590746,0.275482675,0.278270653,0.283340225,0.288275868,0.293054306,0.299241315,0.302828787,0.308825231,0.313195164,0.319264192,0.321213589,0.33025153,0.334379773,0.339472593,0.34561346,0.352482907,0.358621438,0.365193297,0.371899003,0.378546162,0.386193527,0.392847152,0.397907119,0.406655056,0.42037261,0.421931803,0.433932732,0.441476631
28,0.27552871,0.280796211,0.285608362,0.29274601,0.295737251,0.301017946,0.306218146,0.311179761,0.317630946,0.321422121,0.327678456,0.332259129,0.338610634,0.340758271,0.350068848,0.354411104,0.359771857,0.366178159,0.373252141,0.379669509,0.386480974,0.393422323,0.400391636,0.408233483,0.415200149,0.420497204,0.429495347,0.4434176,0.445243535,0.457520447,0.465241812
29,0.292260146,0.29779587,0.302824319,0.310193579,0.313387978,0.318870825,0.324329791,0.329465013,0.336169184,0.340159912,0.346665021,0.351449153,0.358072251,0.360419356,0.369979026,0.374528183,0.380147954,0.386806232,0.394065827,0.400748397,0.407782383,0.414941312,0.422217243,0.430229848,0.437492602,0.443013383,0.452233941,0.466312622,0.46840442,0.480915708,0.488788009
30,0.309168551,0.314966867,0.320204771,0.327790786,0.331187269,0.336862531,0.34257332,0.347871944,0.354816885,0.359002057,0.365743767,0.370723136,0.37760569,0.380152261,0.389936687,0.394684558,0.400553048,0.407448609,0.414874267,0.421807017,0.429045435,0.436402915,0.443968151,0.452127313,0.459667446,0.465397232,0.474811555,0.48899885,0.491353288,0.504056766,0.512053062
31,0.326222369,0.332276587,0.337716298,0.345503561,0.349100094,0.354957336,0.360911911,0.366363162,0.373535725,0.377909312,0.384874485,0.390039997,0.397168711,0.399913531,0.409897754,0.414835152,0.42094077,0.428057811,0.4356295,0.442796151,0.45022005,0.457756241,0.465591861,0.473873094,0.48167032,0.487593179,0.497172001,0.51142091,0.514032528,0.526885789,0.534978964
32,0.343390466,0.349692891,0.355326005,0.363298452,0.367092067,0.373120226,0.379309513,0.384902121,0.392288313,0.396843421,0.404018047,0.409359801,0.416720322,0.419660989,0.429819599,0.43493641,0.441266373,0.448588108,0.456285454,0.463668608,0.471258332,0.478952739,0.487038387,0.495417095,0.503449754,0.509548698,0.519262375,0.533527036,0.53638826,0.549349023,0.557512012
